student_id,test_type,test_date,test_subscore,test_subscore_type,is_test_subscore_numeric,entry_mode,entry_date,test_subscore_numeric,max_test_subscore_rank,min_entry_date_rank,test_subscore_highest,test_subscore_percentile
522118,GRE2011,2015-11-10,145,QUAN2011,Y,ELEC,2015-11-25,145.0,1,1,145.0,21
522118,GRE2011,2015-11-10,147,VERB2011,Y,ELEC,2015-11-25,147.0,1,1,147.0,33
522212,GRE2011,2018-07-10,4.0,ANALYTWRIT,Y,ELEC,2018-11-05,4.0,1,1,4.0,59
522212,GRE2011,2018-07-10,152,QUAN2011,Y,ELEC,2018-11-05,152.0,1,1,152.0,46
522212,GRE2011,2018-07-10,159,VERB2011,Y,ELEC,2018-11-05,159.0,1,1,159.0,83
522236,GRE2011,2016-05-09,3.5,ANALYTWRIT,Y,ELEC,2016-05-19,3.5,1,1,3.5,38
522236,GRE2011,2016-05-09,151,QUAN2011,Y,ELEC,2016-05-19,151.0,1,1,151.0,45
522236,GRE2011,2016-05-09,148,VERB2011,Y,ELEC,2016-05-19,148.0,1,1,148.0,37
522407,GRE2011,2016-02-26,4.0,ANALYTWRIT,Y,ELEC,2016-10-07,4.0,1,1,4.0,59
522407,GRE2011,2016-02-26,148,QUAN2011,Y,ELEC,2016-10-07,148.0,1,1,148.0,31
522407,GRE2011,2016-02-26,155,VERB2011,Y,ELEC,2016-10-07,155.0,1,1,155.0,68
522462,GRE2011,2017-11-11,4.0,ANALYTWRIT,Y,ELEC,2017-12-04,4.0,1,1,4.0,60
522462,GRE2011,2017-11-11,147,QUAN2011,Y,ELEC,2017-12-04,147.0,1,1,147.0,27
522462,GRE2011,2017-11-11,149,VERB2011,Y,ELEC,2017-12-04,149.0,1,1,149.0,43
522500,GRE2011,2017-03-24,5.0,ANALYTWRIT,Y,ELEC,2018-12-20,5.0,1,1,5.0,93
522500,GRE2011,2017-03-24,166,QUAN2011,Y,ELEC,2018-12-20,166.0,1,1,166.0,91
522500,GRE2011,2017-03-24,168,VERB2011,Y,ELEC,2018-12-20,168.0,1,1,168.0,98
522574,GRE2011,2018-08-11,3.0,ANALYTWRIT,Y,ELEC,2018-08-24,3.0,1,1,3.0,17
522574,GRE2011,2018-08-11,131,QUAN2011,Y,ELEC,2018-08-24,131.0,1,1,131.0,1
522574,GRE2011,2018-08-11,142,VERB2011,Y,ELEC,2018-08-24,142.0,1,1,142.0,17
522643,GRE2011,2015-12-22,3.5,ANALYTWRIT,Y,ELEC,2016-01-04,3.5,1,1,3.5,38
522643,GRE2011,2015-12-22,158,QUAN2011,Y,ELEC,2016-01-04,158.0,1,1,158.0,71
522643,GRE2011,2015-12-22,158,VERB2011,Y,ELEC,2016-01-04,158.0,1,1,158.0,79
522680,GRE2011,2015-04-02,3.5,ANALYTWRIT,Y,ELEC,2015-04-13,3.5,1,1,3.5,38
522680,GRE2011,2015-04-02,152,QUAN2011,Y,ELEC,2015-04-13,152.0,1,1,152.0,48
522680,GRE2011,2015-04-02,157,VERB2011,Y,ELEC,2015-04-13,157.0,1,1,157.0,74
522699,GRE2011,2016-02-19,5.0,ANALYTWRIT,Y,ELEC,2016-03-04,5.0,1,1,5.0,93
522699,GRE2011,2016-02-19,159,QUAN2011,Y,ELEC,2016-03-04,159.0,1,1,159.0,75
522699,GRE2011,2016-02-19,163,VERB2011,Y,ELEC,2016-03-04,163.0,1,1,163.0,92
522783,GRE2011,2015-07-24,4.5,ANALYTWRIT,Y,ELEC,2016-03-10,4.5,1,3,4.5,80
522783,GRE2011,2015-11-29,155,QUAN2011,Y,ELEC,2016-03-10,155.0,1,4,155.0,60
522783,GRE2011,2015-11-29,157,VERB2011,Y,ELEC,2016-03-10,157.0,1,4,157.0,74
522859,GRE2011,2018-01-03,3.5,ANALYTWRIT,Y,ELEC,2018-10-04,3.5,1,1,3.5,42
522859,GRE2011,2018-01-03,148,QUAN2011,Y,ELEC,2018-10-04,148.0,1,1,148.0,30
522859,GRE2011,2018-01-03,162,VERB2011,Y,ELEC,2018-10-04,162.0,1,1,162.0,91
522939,GRE2011,2018-10-29,3.5,ANALYTWRIT,Y,ELEC,2018-11-09,3.5,1,1,3.5,41
522939,GRE2011,2018-10-29,149,QUAN2011,Y,ELEC,2018-11-09,149.0,1,1,149.0,34
522939,GRE2011,2018-10-29,158,VERB2011,Y,ELEC,2018-11-09,158.0,1,1,158.0,80
522986,GRE2011,2019-04-01,5.0,ANALYTWRIT,Y,ELEC,2019-04-15,5.0,1,1,5.0,92
522986,GRE2011,2019-04-01,150,QUAN2011,Y,ELEC,2019-04-15,150.0,1,1,150.0,38
522986,GRE2011,2019-04-01,157,VERB2011,Y,ELEC,2019-04-15,157.0,1,1,157.0,76
523005,GRE2011,2015-06-08,4.0,ANALYTWRIT,Y,ELEC,2015-06-29,4.0,1,1,4.0,56
523005,GRE2011,2015-06-08,140,QUAN2011,Y,ELEC,2015-06-29,140.0,1,1,140.0,8
523005,GRE2011,2015-06-08,155,VERB2011,Y,ELEC,2015-06-29,155.0,1,1,155.0,67
523054,GRE2011,2015-10-21,5.0,ANALYTWRIT,Y,ELEC,2015-11-03,5.0,1,1,5.0,93
523054,GRE2011,2015-10-21,154,QUAN2011,Y,ELEC,2015-11-03,154.0,1,1,154.0,56
523054,GRE2011,2015-10-21,155,VERB2011,Y,ELEC,2015-11-03,155.0,1,1,155.0,67
523077,GRE2011,2016-12-23,4.5,ANALYTWRIT,Y,ELEC,2017-01-06,4.5,1,4,4.5,82
523077,GRE2011,2016-12-23,139,QUAN2011,Y,ELEC,2017-01-06,139.0,1,4,139.0,6
523077,GRE2011,2016-12-23,162,VERB2011,Y,ELEC,2017-01-06,162.0,1,4,162.0,90
523138,GRE2011,2015-02-06,3.5,ANALYTWRIT,Y,ELEC,2015-02-22,3.5,1,1,3.5,38
523138,GRE2011,2015-02-06,154,QUAN2011,Y,ELEC,2015-02-22,154.0,1,1,154.0,56
523138,GRE2011,2015-02-06,156,VERB2011,Y,ELEC,2015-02-22,156.0,1,1,156.0,71
523194,GRE2011,2017-06-16,4.0,ANALYTWRIT,Y,ELEC,2018-06-28,4.0,1,1,4.0,60
523194,GRE2011,2017-06-16,156,QUAN2011,Y,ELEC,2018-06-28,156.0,1,1,156.0,62
523194,GRE2011,2017-06-16,169,VERB2011,Y,ELEC,2018-06-28,169.0,1,1,169.0,99
523279,GRE2011,2015-03-04,3.5,ANALYTWRIT,Y,,2016-09-28,3.5,1,1,3.5,42
523279,GRE2011,2015-03-04,150,QUAN2011,Y,,2016-09-28,150.0,1,1,150.0,39
523279,GRE2011,2015-03-04,146,VERB2011,Y,,2016-09-28,146.0,1,1,146.0,30
523393,GRE2011,2015-10-28,2.5,ANALYTWRIT,Y,ELEC,2015-11-09,2.5,1,1,2.5,7
523393,GRE2011,2015-10-28,152,QUAN2011,Y,ELEC,2015-11-09,152.0,1,1,152.0,48
523393,GRE2011,2015-10-28,152,VERB2011,Y,ELEC,2015-11-09,152.0,1,1,152.0,54
523543,GRE2011,2015-11-23,3.5,ANALYTWRIT,Y,ELEC,2016-08-26,3.5,1,2,3.5,38
523543,GRE2011,2015-12-30,145,QUAN2011,Y,,2016-03-21,145.0,1,3,145.0,21
523543,GRE2011,2015-11-23,151,VERB2011,Y,,2016-03-21,151.0,1,1,151.0,50
523545,GRE2011,2016-02-19,3.0,ANALYTWRIT,Y,ELEC,2016-06-16,3.0,1,1,3.0,15
523545,GRE2011,2016-02-19,151,QUAN2011,Y,ELEC,2016-06-16,151.0,1,1,151.0,45
523545,GRE2011,2016-02-19,151,VERB2011,Y,ELEC,2016-06-16,151.0,1,1,151.0,50
523708,GRE2011,2015-09-24,2.5,ANALYTWRIT,Y,ELEC,2015-10-16,2.5,1,1,2.5,7
523708,GRE2011,2015-09-24,150,QUAN2011,Y,ELEC,2015-10-16,150.0,1,1,150.0,40
523708,GRE2011,2015-09-24,150,VERB2011,Y,ELEC,2015-10-16,150.0,1,1,150.0,45
523755,GRE2011,2015-12-21,4.0,ANALYTWRIT,Y,ELEC,2016-01-04,4.0,1,1,4.0,56
523755,GRE2011,2015-12-21,147,QUAN2011,Y,ELEC,2016-01-04,147.0,1,1,147.0,28
523755,GRE2011,2015-12-21,152,VERB2011,Y,ELEC,2016-01-04,152.0,1,1,152.0,54
523763,GRE2011,2016-12-03,3.0,ANALYTWRIT,Y,ELEC,2016-12-21,3.0,1,1,3.0,17
523763,GRE2011,2016-12-03,145,QUAN2011,Y,ELEC,2016-12-21,145.0,1,1,145.0,20
523763,GRE2011,2016-12-03,152,VERB2011,Y,ELEC,2016-12-21,152.0,1,1,152.0,55
523834,GRE2011,2016-12-01,4.5,ANALYTWRIT,Y,ELEC,2016-12-21,4.5,1,1,4.5,82
523834,GRE2011,2016-12-01,161,QUAN2011,Y,ELEC,2016-12-21,161.0,1,1,161.0,79
523834,GRE2011,2016-12-01,167,VERB2011,Y,ELEC,2016-12-21,167.0,1,1,167.0,98
523860,GRE2011,2015-01-07,4.0,ANALYTWRIT,Y,ELEC,2015-01-16,4.0,1,1,4.0,56
523860,GRE2011,2015-01-07,159,QUAN2011,Y,ELEC,2015-01-16,159.0,1,1,159.0,74
